theme,symbol,role,outlier_score,corr_with_theme_moves,med_abs_resid,rank_volatility,median_rank,obs_months
Banks_and_Regional_Lenders,AXISBANK,A,-1.431,0.8452,5.0,16.5307,33.0,14
Banks_and_Regional_Lenders,INDIANB,A,-1.2721,0.8434,6.0,18.6738,25.0,21
Banks_and_Regional_Lenders,FEDERALBNK,A,-0.3204,0.4592,8.0,12.3252,19.0,17
Banks_and_Regional_Lenders,KARURVYSYA,Core,-0.2217,0.4762,10.0,9.778,21.0,21
Banks_and_Regional_Lenders,CUB,Core,-0.1293,0.4784,10.0,13.6961,22.0,21
Banks_and_Regional_Lenders,UJJIVANSFB,Core,0.4989,0.5618,13.0,34.635,40.0,21
Banks_and_Regional_Lenders,PNB,B,0.9083,0.4307,16.25,25.4401,57.5,18
Banks_and_Regional_Lenders,CANBK,B,1.0488,-0.003,7.0,27.5282,40.0,18
Banks_and_Regional_Lenders,IDFCFIRSTB,B,1.2868,0.2312,14.0,30.8493,46.0,18
NBFC_and_Credit_Platforms,MANAPPURAM,A,-0.9777,0.7305,2.25,6.8946,11.0,14
NBFC_and_Credit_Platforms,CHOLAFIN,A,-0.3545,0.8574,6.0,20.8525,35.0,27
NBFC_and_Credit_Platforms,AADHARHFC,Core,-0.0142,0.5849,7.0,7.9117,22.0,15
NBFC_and_Credit_Platforms,MUTHOOTFIN,Core,0.0356,0.5364,6.0,14.9963,15.0,27
NBFC_and_Credit_Platforms,ABCAPITAL,Core,0.1852,0.6743,7.0,26.7584,36.0,21
NBFC_and_Credit_Platforms,LTF,Core,0.4189,0.8853,10.0,32.5491,23.0,18
NBFC_and_Credit_Platforms,BAJFINANCE,B,0.7643,0.7095,11.0,28.2292,35.0,27
NBFC_and_Credit_Platforms,SHRIRAMFIN,B,2.121,-0.0607,13.75,14.3703,28.0,18
Insurance,STAR,A,-3.3189,0.9879,0.0,105.7316,12.0,39
Insurance,SBILIFE,Core,0.0337,0.7011,5.5,15.0516,21.0,14
Insurance,HDFCLIFE,B,0.3035,0.713,7.0,20.8448,33.0,23
Capital_Markets_and_Wealth,BSE,A,-0.7022,0.6341,6.0,8.3811,7.0,17
Capital_Markets_and_Wealth,MCX,A,-0.4956,0.8692,5.5,14.9728,9.0,34
Capital_Markets_and_Wealth,NUVAMA,Core,-0.3049,0.873,7.25,10.9737,25.0,18
Capital_Markets_and_Wealth,360ONE,Core,0.2514,0.6263,8.0,12.4137,25.0,27
Capital_Markets_and_Wealth,MFSL,B,0.452,0.0676,7.0,12.8268,13.0,17
Capital_Markets_and_Wealth,IIFL,B,13.3858,-0.0458,44.0,31.897,67.0,21
Auto_Ancillaries_and_Components,FIEMIND,A,-0.9497,0.8212,1.0,13.4164,28.0,18
Auto_Ancillaries_and_Components,LUMAXTECH,A,-0.8438,0.7918,1.5,14.881,28.0,18
Auto_Ancillaries_and_Components,SJS,Core,-0.3067,0.2126,5.0,13.0709,15.0,21
Auto_Ancillaries_and_Components,CRAFTSMAN,Core,0.2954,0.169,8.0,23.0935,38.0,17
Auto_Ancillaries_and_Components,AVL,B,0.5442,-0.1542,9.5,21.6101,24.5,16
Auto_Ancillaries_and_Components,MSUMI,B,2.2464,-0.1648,29.75,26.1877,69.0,18
Transport_and_Mobility,ASHOKLEY,A,-0.5467,0.4902,3.0,12.9173,20.5,14
Transport_and_Mobility,EICHERMOT,A,-0.2687,0.5417,12.0,12.2414,16.0,23
Transport_and_Mobility,CARTRADE,Core,-0.1492,0.7273,12.0,21.8601,10.0,27
Transport_and_Mobility,IXIGO,Core,-0.0225,-0.0206,4.0,14.6551,24.0,15
Transport_and_Mobility,ADANIPORTS,Core,0.0164,0.6044,15.0,20.0221,34.0,17
Transport_and_Mobility,DELHIVERY,B,1.4812,-0.077,28.0,33.5211,71.0,21
Transport_and_Mobility,GESHIP,B,1.9764,-0.1164,46.0,25.8587,70.0,14
IT_Services_and_BPM,ECLERX,A,-0.2143,0.7111,7.5,14.4029,28.0,18
IT_Services_and_BPM,COFORGE,Core,-0.0337,0.7471,6.0,20.9246,24.0,27
IT_Services_and_BPM,SAGILITY,B,0.738,0.4721,3.0,19.3225,30.0,9
Telecom_and_Digital_Consumer,BHARTIARTL,A,-0.5439,0.2403,6.5,7.6217,15.0,17
Telecom_and_Digital_Consumer,ETERNAL,Core,-0.3759,0.6969,13.5,12.6334,16.0,23
Telecom_and_Digital_Consumer,PAYTM,Core,-0.0987,0.4799,10.0,35.7505,15.0,27
Telecom_and_Digital_Consumer,IDEA,B,5.2115,0.1191,67.0,33.1778,89.0,17
Base_Metals_Mining_and_Commodities,HINDALCO,A,-6.5763,0.8617,0.0,19.6972,29.0,18
Base_Metals_Mining_and_Commodities,HINDCOPPER,Core,0.5622,0.7092,11.0,31.9142,52.0,23
Base_Metals_Mining_and_Commodities,HINDZINC,Core,0.7939,-0.0164,10.5,11.7328,29.0,14
Base_Metals_Mining_and_Commodities,GMDCLTD,Core,1.2043,-0.2689,10.0,29.6328,22.5,14
Base_Metals_Mining_and_Commodities,VEDL,B,3.1378,0.8244,16.0,17.4281,32.0,17
Steel_and_Engineering_Materials,HEG,A,-0.7482,0.8626,6.0,11.9275,27.5,14
Steel_and_Engineering_Materials,JSWSTEEL,A,-0.2188,0.6098,8.5,14.6676,21.0,18
Steel_and_Engineering_Materials,APLAPOLLO,Core,-0.1548,0.3098,3.5,23.3945,37.0,23
Steel_and_Engineering_Materials,TATASTEEL,Core,-0.0335,0.6304,7.5,23.6602,33.5,18
Steel_and_Engineering_Materials,PGIL,B,0.8051,0.0464,15.0,13.3963,19.0,18
Steel_and_Engineering_Materials,AIAENG,B,3.3442,0.1333,38.5,26.0318,75.0,17
Industrials_EMS_and_Precision,SHAILY,A,-15.81,0.2536,6.0,8.0829,5.0,27
Industrials_EMS_and_Precision,AVALON,Core,-0.6275,0.6919,0.0,25.7427,28.0,23
Industrials_EMS_and_Precision,SYRMA,B,0.3035,0.3812,12.0,25.5587,35.0,18
Power_and_Electrification,WAAREEENER,A,-0.6932,0.8613,1.5,9.2892,21.0,10
Power_and_Electrification,GVT&D,Core,-0.0232,0.6874,12.0,21.7089,7.0,27
Power_and_Electrification,ADANIPOWER,Core,0.8274,0.0969,24.0,22.9928,55.0,18
Power_and_Electrification,POWERINDIA,Core,1.0159,0.936,7.75,97.0506,13.0,34
Power_and_Electrification,MTARTECH,B,1.3189,-0.1223,29.0,32.3043,66.0,18
Pharma_CDMO_and_Lifesciences,ACUTAAS,A,-12.6276,0.9968,2.0,180.4898,60.0,42
Pharma_CDMO_and_Lifesciences,NAVINFLUOR,A,-0.267,0.8081,1.0,35.8333,24.0,27
Pharma_CDMO_and_Lifesciences,SENORES,Core,-0.1445,,4.0,9.9216,9.5,8
Pharma_CDMO_and_Lifesciences,UPL,Core,-0.0337,0.8055,2.0,31.0847,34.0,27
Pharma_CDMO_and_Lifesciences,SAILIFE,Core,0.3446,,9.0,8.7883,19.5,8
Pharma_CDMO_and_Lifesciences,LAURUSLABS,B,19.3558,0.5598,7.5,19.6894,7.0,21
Pharma_CDMO_and_Lifesciences,TORNTPHARM,B,35.472,0.3536,11.0,6.59,22.5,14
Healthcare_Services_and_Diagnostics,THYROCARE,A,-0.371,0.8575,0.0,16.4422,18.0,21
Healthcare_Services_and_Diagnostics,METROPOLIS,Core,0.2131,0.3209,16.0,18.0541,38.0,21
Healthcare_Services_and_Diagnostics,ASTERDM,B,0.9472,0.5962,0.0,27.1088,21.0,27
Alcobev,RADICO,A,-5.5531,0.5362,7.0,11.2509,28.0,18
Alcobev,ABDL,Core,-0.2563,0.7393,1.0,17.9758,10.0,15
Alcobev,TI,B,-0.2023,0.8383,4.5,17.7997,22.5,18
Luxury_and_Discretionary_Retail,THANGAMAYL,A,-0.0954,0.807,7.0,15.8011,20.0,17
Luxury_and_Discretionary_Retail,TITAN,Core,0.0954,0.6863,6.25,17.3016,28.0,14
Luxury_and_Discretionary_Retail,ETHOSLTD,Core,0.3094,0.934,0.0,47.0617,42.0,42
Luxury_and_Discretionary_Retail,V2RETAIL,B,1.7824,0.2301,21.0,8.6554,3.5,18
